filling time,[CH4] (ppb),δD SMOW (‰)
2016-11-29 07:58:00,1995.1187951666666,-89.79
2016-11-29 09:39:00,2117.1187951666666,-91.73
2016-11-29 11:55:00,2328.1187951666666,-113.61
2016-11-29 12:29:00,2215.1187951666666,-109.61
2016-11-29 14:45:00,2360.1187951666666,-115.13
2016-11-29 16:27:00,2424.1187951666666,-122.75
2016-11-29 18:43:00,2366.1187951666666,-119.66
2016-11-29 19:17:00,2284.1187951666666,-115.65
2016-11-29 21:33:00,2327.1187951666666,-116.1
2016-11-29 23:14:00,2253.1187951666666,-102.79
2016-11-30 01:30:00,2246.1187951666666,-101.33
2016-11-30 02:04:00,2236.1187951666666,-106.33
2016-11-30 04:20:00,2245.1187951666666,-108.32
2016-11-30 06:02:00,2236.1187951666666,-106.54
2016-11-30 18:27:00,1954.0,-89.84
2016-11-30 19:01:00,1909.0,-88.6
2016-11-30 21:17:00,1907.0,-86.32
2016-11-30 23:33:00,1926.0,-89.64
2016-12-01 01:14:00,1987.0,-93.71
2016-12-01 03:30:00,1973.0,-89.9
2016-12-01 04:04:00,1929.0,-91.62
2016-12-01 06:20:00,1934.0,-89.8
2016-12-01 08:36:00,1933.0,-89.19
2016-12-01 10:17:00,1968.0,-91.23
2016-12-01 12:33:00,2005.0,-83.94
2016-12-01 13:07:00,1955.0,-83.6
2016-12-01 18:17:00,1986.0,-93.34
2016-12-01 18:51:00,1917.0,-78.91
2016-12-01 21:07:00,1912.0,-88.45
2016-12-01 23:23:00,1903.0,-81.66
2016-12-02 01:04:00,1954.0,-78.1
2016-12-02 03:20:00,1947.0,-83.94
2016-12-02 03:54:00,1900.0,-83.22
2016-12-02 06:10:00,1899.0,-82.13
2016-12-02 08:26:00,1905.0,-82.46
2016-12-02 10:08:00,1956.0,-89.28
2016-12-02 12:23:00,1962.0,-79.94
2016-12-02 12:58:00,1911.0,-84.73
2016-12-02 15:13:00,1909.0,-84.72
2016-12-02 17:29:00,1906.0,-85.96
2016-12-02 19:11:00,1950.0,-75.48
2016-12-02 21:27:00,1953.0,-77.68
2016-12-02 22:01:00,1905.0,-82.59
2016-12-03 00:17:00,1919.0,-84.36
2016-12-03 02:32:00,1909.0,-90.22
2016-12-03 04:14:00,1957.0,-87.92
2016-12-03 06:30:00,1964.0,-81.74
2016-12-03 07:04:00,1915.0,-86.51
2016-12-03 09:20:00,1911.0,-87.09
2016-12-03 11:35:00,1904.0,-90.09
2016-12-03 13:17:00,1963.0,-84.22
2016-12-03 15:33:00,1956.0,-90.65
2016-12-03 16:07:00,1910.0,-83.91
2016-12-03 18:23:00,1914.0,-85.02
2016-12-03 20:39:00,1958.0,-92.09
2016-12-03 22:20:00,2005.0,-87.76
2016-12-04 00:36:00,2015.0,-94.82
2016-12-04 01:10:00,2052.0,-103.03
2016-12-04 03:26:00,2063.0,-99.93
2016-12-04 05:42:00,1920.0,-89.83
2016-12-04 07:23:00,1977.0,-85.54
2016-12-04 09:39:00,1985.0,-85.79
2016-12-04 10:13:00,1940.0,-92.36
2016-12-04 12:29:00,2795.0,-146.37
2016-12-04 17:51:00,2313.0,-115.36
2016-12-04 18:25:00,2267.0,-112.19
2016-12-04 20:41:00,2382.0,-123.32
2016-12-04 22:57:00,2248.0,-113.24
2016-12-05 00:39:00,2341.0,-115.21
2016-12-05 02:54:00,2224.0,-107.31
2016-12-05 03:29:00,2213.0,-108.62
2016-12-05 05:44:00,2203.0,-109.82
2016-12-05 08:00:00,2143.0,-101.78
2016-12-05 09:42:00,2200.0,-108.99
2016-12-05 11:58:00,2341.0,-113.8
2016-12-05 12:32:00,2718.0,-143.68
2016-12-05 14:48:00,2625.0,-132.43
2016-12-05 17:03:00,2409.0,-120.2
2016-12-05 18:45:00,2320.0,-104.46
2016-12-05 21:01:00,2196.0,-97.07
2016-12-05 21:35:00,2139.0,-100.92
2016-12-05 23:51:00,2104.0,-90.94
2016-12-06 02:07:00,2711.0,-139.06
2016-12-06 03:48:00,2549.0,-120.64
2016-12-06 06:04:00,2817.0,-145.94
2016-12-06 06:38:00,2740.0,-145.67
2016-12-06 08:54:00,2572.0,-133.83
2016-12-06 11:10:00,2828.0,-141.48
2016-12-06 12:51:00,2876.0,-138.1
2016-12-06 15:07:00,2639.0,-126.17
2016-12-06 15:41:00,2759.0,-137.52
2016-12-06 17:57:00,2756.0,-141.73
2016-12-06 20:13:00,2662.0,-135.82
2016-12-06 21:55:00,2657.0,-129.89
2016-12-07 00:10:00,2642.0,-131.12
2016-12-07 00:45:00,2633.0,-135.84
2016-12-07 03:00:00,2681.0,-141.05
2016-12-07 05:16:00,2723.0,-142.73
2016-12-07 06:58:00,2555.0,-131.05
2016-12-07 09:13:00,2473.0,-119.94
2016-12-07 09:48:00,2419.0,-121.01
2016-12-07 12:03:00,2357.0,-122.36
2016-12-07 14:19:00,2267.0,-112.33
2016-12-07 16:01:00,2274.0,-114.03
2016-12-07 18:17:00,2229.0,-108.13
2016-12-07 18:51:00,2199.0,-109.62
2016-12-07 21:07:00,2171.0,-109.27
2016-12-07 23:22:00,2165.0,-109.15
2016-12-08 01:04:00,2204.0,-109.37
